episode,gamma=0.99,gamma=0.8,gamma=0.5
693,73.228067,-22.284602,-55.488391
694,73.229472,-24.105462,-55.636194
695,73.364075,-26.594441,-54.6679
696,73.489425,-24.668431,-50.249876
697,73.960064,-25.097664,-45.692398
698,73.574915,-26.92425,-44.923482
699,75.328719,-23.28308,-45.142767
700,75.606839,-24.194266,-45.309238
701,73.212743,-26.013153,-45.169824
702,73.137971,-26.65981,-43.225561
703,74.326003,-26.091346,-44.534652
704,77.240635,-28.885044,-48.759413
705,77.100078,-31.536308,-47.480983
706,76.916456,-32.391407,-47.684256
707,76.90742,-29.991503,-51.531059
708,75.035779,-29.714347,-55.335306
709,74.941514,-27.165538,-57.052036
710,75.144577,-26.948068,-58.145139
711,74.471128,-30.008987,-57.042926
712,74.324026,-28.956165,-62.049651
713,74.911806,-33.904171,-61.462608
714,74.626373,-34.634476,-62.996284
715,75.909107,-38.017991,-65.134275
716,75.2527,-36.600097,-66.635958
717,74.640001,-33.391793,-71.242874
718,75.181794,-32.075662,-68.512976
719,75.347046,-29.163278,-65.898555
720,73.181882,-29.062742,-66.224817
721,76.272069,-28.158907,-70.381734
